"","unique(lncrna_genes$gene_id)"
"329","ENSG00000234481"
"330","ENSG00000284650"
"331","ENSG00000223944"
"332","ENSG00000233621"
"333","ENSG00000284748"
"334","ENSG00000233728"
"335","ENSG00000230955"
"336","ENSG00000224592"
"337","ENSG00000284623"
"338","ENSG00000286552"
"339","ENSG00000287987"
"340","ENSG00000237290"
"341","ENSG00000238063"
"342","ENSG00000284632"
"343","ENSG00000273637"
"344","ENSG00000228436"
"345","ENSG00000270040"
"346","ENSG00000287422"
"347","ENSG00000226438"
"348","ENSG00000228060"
"349","ENSG00000225903"
"350","ENSG00000285905"
"351","ENSG00000261798"
"352","ENSG00000284719"
"353","ENSG00000284678"
"354","ENSG00000236546"
"355","ENSG00000259943"
"356","ENSG00000284677"
"357","ENSG00000260920"
"358","ENSG00000279667"
"359","ENSG00000238287"
"360","ENSG00000227278"
"361","ENSG00000238186"
"362","ENSG00000286838"
"363","ENSG00000287743"
"364","ENSG00000237899"
"365","ENSG00000272145"
"366","ENSG00000229528"
"367","ENSG00000286668"
"368","ENSG00000281207"
"369","ENSG00000287400"
"370","ENSG00000235358"
"371","ENSG00000229901"
"372","ENSG00000230881"
"373","ENSG00000287587"
"374","ENSG00000227527"
"375","ENSG00000285728"
"376","ENSG00000234917"
"377","ENSG00000228452"
"378","ENSG00000228192"
"379","ENSG00000227533"
"380","ENSG00000283973"
"381","ENSG00000287113"
"382","ENSG00000234694"
"383","ENSG00000229431"
"384","ENSG00000229372"
"385","ENSG00000229348"
"386","ENSG00000236200"
"387","ENSG00000229444"
"388","ENSG00000237950"
"389","ENSG00000285649"
"390","ENSG00000230615"
"391","ENSG00000233602"
"392","ENSG00000225721"
"393","ENSG00000281912"
"394","ENSG00000230896"
"395","ENSG00000226957"
"396","ENSG00000227857"
"397","ENSG00000224863"
"398","ENSG00000269956"
"399","ENSG00000228237"
"400","ENSG00000225506"
"401","ENSG00000224805"
"402","ENSG00000226252"
"403","ENSG00000225762"
"404","ENSG00000237424"
"405","ENSG00000227947"
"406","ENSG00000223814"
"407","ENSG00000225028"
"408","ENSG00000226133"
"409","ENSG00000231413"
"410","ENSG00000279096"
"411","ENSG00000223720"
"412","ENSG00000272491"
"413","ENSG00000279214"
"414","ENSG00000287661"
"415","ENSG00000286597"
"416","ENSG00000229846"
"417","ENSG00000230114"
"418","ENSG00000225623"
"419","ENSG00000279324"
"420","ENSG00000237337"
"421","ENSG00000233407"
"422","ENSG00000284696"
"423","ENSG00000284645"
"424","ENSG00000284700"
"425","ENSG00000225767"
"426","ENSG00000203356"
"427","ENSG00000236434"
"428","ENSG00000261664"
"429","ENSG00000238140"
"430","ENSG00000227070"
"431","ENSG00000266993"
"432","ENSG00000272175"
"433","ENSG00000223390"
"434","ENSG00000228369"
"435","ENSG00000272100"
"436","ENSG00000287078"
"437","ENSG00000272371"
"438","ENSG00000242391"
"439","ENSG00000232993"
"440","ENSG00000235563"
"441","ENSG00000236723"
"442","ENSG00000259818"
"443","ENSG00000226754"
"444","ENSG00000234578"
"445","ENSG00000228838"
"446","ENSG00000232762"
"447","ENSG00000225675"
"448","ENSG00000285954"
"449","ENSG00000226938"
"450","ENSG00000230138"
"451","ENSG00000280378"
"452","ENSG00000280425"
"453","ENSG00000198711"
"454","ENSG00000225632"
"455","ENSG00000232245"
"456","ENSG00000287582"
"457","ENSG00000235741"
"458","ENSG00000230728"
"459","ENSG00000237453"
"460","ENSG00000287724"
"461","ENSG00000242396"
"462","ENSG00000233203"
"463","ENSG00000284601"
"464","ENSG00000233271"
"465","ENSG00000231090"
"466","ENSG00000234810"
"467","ENSG00000233079"
"468","ENSG00000230250"
"469","ENSG00000235612"
"470","ENSG00000260971"
"471","ENSG00000223956"
"472","ENSG00000229913"
"473","ENSG00000236341"
"474","ENSG00000227935"
"475","ENSG00000226759"
"476","ENSG00000235038"
"477","ENSG00000286918"
"478","ENSG00000283445"
"479","ENSG00000234807"
"480","ENSG00000272226"
"481","ENSG00000231740"
"482","ENSG00000232453"
"483","ENSG00000237352"
"484","ENSG00000241042"
"485","ENSG00000235215"
"486","ENSG00000224609"
"487","ENSG00000270457"
"488","ENSG00000226883"
"489","ENSG00000238242"
"490","ENSG00000226476"
"491","ENSG00000231252"
"492","ENSG00000237928"
"493","ENSG00000237853"
"494","ENSG00000284808"
"495","ENSG00000287224"
"496","ENSG00000271200"
"497","ENSG00000278967"
"498","ENSG00000235545"
"499","ENSG00000234318"
"500","ENSG00000229537"
"501","ENSG00000286455"
"502","ENSG00000227485"
"503","ENSG00000229225"
"504","ENSG00000203605"
"505","ENSG00000224209"
"506","ENSG00000228734"
"507","ENSG00000230798"
"508","ENSG00000286429"
"509","ENSG00000116652"
"510","ENSG00000223949"
"511","ENSG00000284928"
"512","ENSG00000226891"
"513","ENSG00000272506"
"514","ENSG00000229294"
"515","ENSG00000237852"
"516","ENSG00000285079"
"517","ENSG00000227466"
"518","ENSG00000248458"
"519","ENSG00000231080"
"520","ENSG00000275678"
"521","ENSG00000235200"
"522","ENSG00000232284"
"523","ENSG00000233589"
"524","ENSG00000234264"
"525","ENSG00000285041"
"526","ENSG00000285407"
"527","ENSG00000285473"
"528","ENSG00000223883"
"529","ENSG00000235446"
"530","ENSG00000229639"
"531","ENSG00000287453"
"532","ENSG00000287283"
"533","ENSG00000237919"
"534","ENSG00000228988"
"535","ENSG00000226088"
"536","ENSG00000271992"
"537","ENSG00000229051"
"538","ENSG00000226208"
"539","ENSG00000235782"
"540","ENSG00000269933"
"541","ENSG00000235079"
"542","ENSG00000229956"
"543","ENSG00000231985"
"544","ENSG00000228853"
"545","ENSG00000286863"
"546","ENSG00000225087"
"547","ENSG00000227016"
"548","ENSG00000285808"
"549","ENSG00000280317"
"550","ENSG00000233973"
"551","ENSG00000223479"
"552","ENSG00000285778"
"553","ENSG00000237324"
"554","ENSG00000233894"
"555","ENSG00000234497"
"556","ENSG00000272864"
"557","ENSG00000229943"
"558","ENSG00000261213"
"559","ENSG00000224127"
"560","ENSG00000224149"
"561","ENSG00000225605"
"562","ENSG00000230027"
"563","ENSG00000272855"
"564","ENSG00000237552"
"565","ENSG00000230498"
"566","ENSG00000287870"
"567","ENSG00000233099"
"568","ENSG00000287647"
"569","ENSG00000235927"
"570","ENSG00000273338"
"571","ENSG00000285928"
"572","ENSG00000237413"
"573","ENSG00000282898"
"574","ENSG00000235011"
"575","ENSG00000285462"
"576","ENSG00000285409"
"577","ENSG00000260322"
"578","ENSG00000225598"
"579","ENSG00000224326"
"580","ENSG00000234184"
"581","ENSG00000285179"
"582","ENSG00000227960"
"583","ENSG00000234953"
"584","ENSG00000236676"
"585","ENSG00000233290"
"586","ENSG00000230817"
"587","ENSG00000236268"
"588","ENSG00000285782"
"589","ENSG00000231364"
"590","ENSG00000233008"
"591","ENSG00000237076"
"592","ENSG00000233061"
"593","ENSG00000285201"
"594","ENSG00000271576"
"595","ENSG00000285361"
"596","ENSG00000285851"
"597","ENSG00000284882"
"598","ENSG00000285374"
"599","ENSG00000180869"
"600","ENSG00000285325"
"601","ENSG00000280099"
"602","ENSG00000223653"
"603","ENSG00000273264"
"604","ENSG00000282057"
"605","ENSG00000272691"
"606","ENSG00000230285"
"607","ENSG00000285210"
"608","ENSG00000236915"
"609","ENSG00000261737"
"610","ENSG00000284846"
"611","ENSG00000267734"
"612","ENSG00000267272"
"613","ENSG00000284240"
"614","ENSG00000227290"
"615","ENSG00000237505"
"616","ENSG00000279778"
"617","ENSG00000286758"
"618","ENSG00000286802"
"619","ENSG00000284734"
"620","ENSG00000237568"
"621","ENSG00000286548"
"622","ENSG00000231999"
"623","ENSG00000230735"
"624","ENSG00000231613"
"625","ENSG00000272931"
"626","ENSG00000272672"
"627","ENSG00000287015"
"628","ENSG00000287406"
"629","ENSG00000287372"
"630","ENSG00000229201"
"631","ENSG00000287076"
"632","ENSG00000233593"
"633","ENSG00000285532"
"634","ENSG00000225446"
"635","ENSG00000272094"
"636","ENSG00000273487"
"637","ENSG00000287797"
"638","ENSG00000223745"
"639","ENSG00000224093"
"640","ENSG00000260464"
"641","ENSG00000233482"
"642","ENSG00000226835"
"643","ENSG00000236098"
"644","ENSG00000286692"
"645","ENSG00000223675"
"646","ENSG00000235501"
"647","ENSG00000230427"
"648","ENSG00000231992"
"649","ENSG00000226026"
"650","ENSG00000228852"
"651","ENSG00000287919"
"652","ENSG00000228504"
"653","ENSG00000230434"
"654","ENSG00000237954"
"655","ENSG00000233907"
"656","ENSG00000228971"
"657","ENSG00000271252"
"658","ENSG00000237435"
"659","ENSG00000231987"
"660","ENSG00000232878"
"661","ENSG00000232542"
"662","ENSG00000235777"
"663","ENSG00000225206"
"664","ENSG00000259946"
"665","ENSG00000285922"
"666","ENSG00000226053"
"667","ENSG00000280040"
"668","ENSG00000232825"
"669","ENSG00000224445"
"670","ENSG00000228084"
"671","ENSG00000241073"
"672","ENSG00000285530"
"673","ENSG00000224616"
"674","ENSG00000223906"
"675","ENSG00000228086"
"676","ENSG00000230402"
"677","ENSG00000285525"
"678","ENSG00000273204"
"679","ENSG00000235795"
"680","ENSG00000233184"
"681","ENSG00000225938"
"682","ENSG00000231671"
"683","ENSG00000226715"
"684","ENSG00000233359"
"685","ENSG00000230864"
"686","ENSG00000230759"
"687","ENSG00000224613"
"688","ENSG00000285981"
"689","ENSG00000230768"
"690","ENSG00000233047"
"691","ENSG00000237480"
"692","ENSG00000237460"
"693","ENSG00000230489"
"694","ENSG00000226822"
"695","ENSG00000260879"
"696","ENSG00000280186"
"697","ENSG00000238122"
"698","ENSG00000224698"
"699","ENSG00000285923"
"700","ENSG00000232971"
"701","ENSG00000203897"
"702","ENSG00000273382"
"703","ENSG00000270066"
"704","ENSG00000254942"
"705","ENSG00000225113"
"706","ENSG00000228703"
"707","ENSG00000260246"
"708","ENSG00000241720"
"709","ENSG00000228420"
"710","ENSG00000235005"
"711","ENSG00000261055"
"712","ENSG00000258634"
"713","ENSG00000258673"
"714","ENSG00000227091"
"715","ENSG00000235526"
"716","ENSG00000224965"
"717","ENSG00000227963"
"718","ENSG00000224699"
"719","ENSG00000273373"
"720","ENSG00000270380"
"721","ENSG00000282887"
"722","ENSG00000283999"
"723","ENSG00000235407"
"724","ENSG00000259834"
"725","ENSG00000261654"
"726","ENSG00000232811"
"727","ENSG00000273010"
"728","ENSG00000272982"
"729","ENSG00000273221"
"730","ENSG00000229283"
"731","ENSG00000260948"
"732","ENSG00000243960"
"733","ENSG00000231346"
"734","ENSG00000227811"
"735","ENSG00000284830"
"736","ENSG00000232558"
"737","ENSG00000237556"
"738","ENSG00000231437"
"739","ENSG00000231246"
"740","ENSG00000273483"
"741","ENSG00000225075"
"742","ENSG00000261595"
"743","ENSG00000215866"
"744","ENSG00000224167"
"745","ENSG00000226419"
"746","ENSG00000287807"
"747","ENSG00000238198"
"748","ENSG00000231128"
"749","ENSG00000226167"
"750","ENSG00000235527"
"751","ENSG00000282048"
"752","ENSG00000232895"
"753","ENSG00000233730"
"754","ENSG00000285698"
"755","ENSG00000228035"
"756","ENSG00000287103"
"757","ENSG00000228127"
"758","ENSG00000237993"
"759","ENSG00000235933"
"760","ENSG00000287217"
"761","ENSG00000203865"
"762","ENSG00000233154"
"763","ENSG00000230381"
"764","ENSG00000224950"
"765","ENSG00000286276"
"766","ENSG00000203864"
"767","ENSG00000272715"
"768","ENSG00000236137"
"769","ENSG00000235202"
"770","ENSG00000271427"
"771","ENSG00000279513"
"772","ENSG00000236866"
"773","ENSG00000287980"
"774","ENSG00000226172"
"775","ENSG00000239216"
"776","ENSG00000224238"
"777","ENSG00000231365"
"778","ENSG00000227712"
"779","ENSG00000232650"
"780","ENSG00000230921"
"781","ENSG00000260941"
"782","ENSG00000273406"
"783","ENSG00000287979"
"784","ENSG00000281741"
"785","ENSG00000226067"
"786","ENSG00000234998"
"787","ENSG00000233029"
"788","ENSG00000227193"
"789","ENSG00000230806"
"790","ENSG00000227082"
"791","ENSG00000228826"
"792","ENSG00000272583"
"793","ENSG00000224857"
"794","ENSG00000235887"
"795","ENSG00000232721"
"796","ENSG00000263590"
"797","ENSG00000230186"
"798","ENSG00000232527"
"799","ENSG00000237343"
"800","ENSG00000277199"
"801","ENSG00000224363"
"802","ENSG00000281571"
"803","ENSG00000276216"
"804","ENSG00000236140"
"805","ENSG00000286620"
"806","ENSG00000287374"
"807","ENSG00000244619"
"808","ENSG00000234222"
"809","ENSG00000278431"
"810","ENSG00000287190"
"811","ENSG00000233396"
"812","ENSG00000276509"
"813","ENSG00000287978"
"814","ENSG00000234225"
"815","ENSG00000237188"
"816","ENSG00000278811"
"817","ENSG00000227139"
"818","ENSG00000274415"
"819","ENSG00000234190"
"820","ENSG00000273059"
"821","ENSG00000274372"
"822","ENSG00000232265"
"823","ENSG00000227733"
"824","ENSG00000234283"
"825","ENSG00000274020"
"826","ENSG00000238107"
"827","ENSG00000224481"
"828","ENSG00000272824"
"829","ENSG00000280649"
"830","ENSG00000254913"
"831","ENSG00000255148"
"832","ENSG00000254539"
"833","ENSG00000274265"
"834","ENSG00000272755"
"835","ENSG00000275557"
"836","ENSG00000233030"
"837","ENSG00000264207"
"838","ENSG00000285184"
"839","ENSG00000285554"
"840","ENSG00000276110"
"841","ENSG00000228126"
"842","ENSG00000237781"
"843","ENSG00000203804"
"844","ENSG00000259357"
"845","ENSG00000231073"
"846","ENSG00000261168"
"847","ENSG00000232671"
"848","ENSG00000273481"
"849","ENSG00000224645"
"850","ENSG00000237976"
"851","ENSG00000232536"
"852","ENSG00000250734"
"853","ENSG00000227045"
"854","ENSG00000269621"
"855","ENSG00000249602"
"856","ENSG00000232937"
"857","ENSG00000268288"
"858","ENSG00000203288"
"859","ENSG00000269489"
"860","ENSG00000234614"
"861","ENSG00000285651"
"862","ENSG00000286581"
"863","ENSG00000229021"
"864","ENSG00000226716"
"865","ENSG00000237975"
"866","ENSG00000236427"
"867","ENSG00000224308"
"868","ENSG00000229699"
"869","ENSG00000238279"
"870","ENSG00000285867"
"871","ENSG00000271853"
"872","ENSG00000272030"
"873","ENSG00000243613"
"874","ENSG00000233222"
"875","ENSG00000284738"
"876","ENSG00000282386"
"877","ENSG00000273026"
"878","ENSG00000272654"
"879","ENSG00000228013"
"880","ENSG00000273110"
"881","ENSG00000229780"
"882","ENSG00000286391"
"883","ENSG00000233875"
"884","ENSG00000287064"
"885","ENSG00000270361"
"886","ENSG00000271380"
"887","ENSG00000232093"
"888","ENSG00000231064"
"889","ENSG00000236263"
"890","ENSG00000225855"
"891","ENSG00000227773"
"892","ENSG00000235919"
"893","ENSG00000232519"
"894","ENSG00000287839"
"895","ENSG00000227673"
"896","ENSG00000273002"
"897","ENSG00000224276"
"898","ENSG00000285677"
"899","ENSG00000237390"
"900","ENSG00000260460"
"901","ENSG00000272971"
"902","ENSG00000272068"
"903","ENSG00000272405"
"904","ENSG00000229953"
"905","ENSG00000237588"
"906","ENSG00000285570"
"907","ENSG00000223356"
"908","ENSG00000287624"
"909","ENSG00000228239"
"910","ENSG00000271736"
"911","ENSG00000227217"
"912","ENSG00000226520"
"913","ENSG00000231666"
"914","ENSG00000176320"
"915","ENSG00000236656"
"916","ENSG00000225670"
"917","ENSG00000228560"
"918","ENSG00000224943"
"919","ENSG00000188004"
"920","ENSG00000272668"
"921","ENSG00000287040"
"922","ENSG00000279430"
"923","ENSG00000224259"
"924","ENSG00000225279"
"925","ENSG00000227741"
"926","ENSG00000228606"
"927","ENSG00000234425"
"928","ENSG00000228863"
"929","ENSG00000232188"
"930","ENSG00000198358"
"931","ENSG00000228917"
"932","ENSG00000224985"
"933","ENSG00000283696"
"934","ENSG00000288093"
"935","ENSG00000283360"
"936","ENSG00000283317"
"937","ENSG00000273112"
"938","ENSG00000224515"
"939","ENSG00000234211"
"940","ENSG00000226889"
"941","ENSG00000227818"
"942","ENSG00000285636"
"943","ENSG00000227094"
"944","ENSG00000259788"
"945","ENSG00000272574"
"946","ENSG00000232892"
"947","ENSG00000232995"
"948","ENSG00000237756"
"949","ENSG00000269887"
"950","ENSG00000233693"
"951","ENSG00000271917"
"952","ENSG00000224702"
"953","ENSG00000238022"
"954","ENSG00000237463"
"955","ENSG00000236206"
"956","ENSG00000273365"
"957","ENSG00000224358"
"958","ENSG00000236364"
"959","ENSG00000203307"
"960","ENSG00000230898"
"961","ENSG00000229588"
"962","ENSG00000225325"
"963","ENSG00000234142"
"964","ENSG00000227907"
"965","ENSG00000231605"
"966","ENSG00000272205"
"967","ENSG00000272033"
"968","ENSG00000287218"
"969","ENSG00000233411"
"970","ENSG00000273160"
"971","ENSG00000241666"
"972","ENSG00000232194"
"973","ENSG00000228697"
"974","ENSG00000283255"
"975","ENSG00000285622"
"976","ENSG00000235736"
"977","ENSG00000225826"
"978","ENSG00000287831"
"979","ENSG00000203601"
"980","ENSG00000287282"
"981","ENSG00000237707"
"982","ENSG00000235575"
"983","ENSG00000213062"
"984","ENSG00000230704"
"985","ENSG00000232959"
"986","ENSG00000233985"
"987","ENSG00000224286"
"988","ENSG00000231407"
"989","ENSG00000225545"
"990","ENSG00000235303"
"991","ENSG00000271811"
"992","ENSG00000231424"
"993","ENSG00000225243"
